transaction_id,customer_id,amount,status,debit_status,type,location,device
TXN001,C001,5000,FAILED,DEBITED,UPI,Vijayawada,KNOWN
TXN002,C002,1200,SUCCESS,DEBITED,CARD,Guntur,KNOWN
TXN003,C003,15000,FAILED,DEBITED,UPI,Hyderabad,KNOWN
TXN004,C004,2500,PENDING,DEBITED,UPI,Vijayawada,KNOWN
TXN005,C005,30000,SUCCESS,DEBITED,CARD,Mumbai,NEW
TXN006,C001,800,SUCCESS,DEBITED,UPI,Vijayawada,KNOWN
TXN007,C002,7500,FAILED,NOT_DEBITED,CARD,Guntur,KNOWN
TXN008,C003,45000,SUCCESS,DEBITED,CARD,Delhi,NEW
TXN009,C004,3000,FAILED,DEBITED,UPI,Vijayawada,KNOWN
TXN010,C005,999,SUCCESS,DEBITED,UPI,Hyderabad,KNOWN
